iter	RMSE
0	0.8341962431
1	0.8336320344
2	0.8330611336
3	0.8322060958
4	0.8317333733
5	0.8306837838
6	0.829679378
7	0.8293491687
8	0.8284156785
9	0.8276430725
10	0.8269461332
11	0.826463966
12	0.8258123127
13	0.8251188872
14	0.824152993
15	0.8233986175
16	0.8230587276
17	0.8223262283
18	0.8220093335
19	0.8216802415
20	0.8210142712
21	0.8206750472
22	0.8200873864
23	0.8197529758
24	0.8192218339
25	0.8189275775
26	0.8186630299
27	0.8181660344
28	0.8177161827
29	0.8172030344
30	0.8169781271
31	0.8163218278
32	0.8159723271
33	0.815560757
34	0.8153526194
35	0.8150969602
36	0.8148262151
37	0.8142780591
38	0.814048126
39	0.8138674417
40	0.8136856629
41	0.8134564795
42	0.8132297922
43	0.813094345
44	0.812937981
45	0.8123069658
46	0.8118162982
47	0.8116368526
48	0.8114838062
49	0.8113744937
50	0.8112763248
51	0.8108871468
52	0.8104507217
53	0.8103211251
54	0.8102023082
55	0.8100386952
56	0.8096689621
57	0.8095130371
58	0.8089127768
59	0.8087655609
60	0.8086614026
61	0.8084464745
62	0.8082579705
63	0.8080940971
64	0.8079342298
65	0.8077975705
66	0.8074148311
67	0.8073040711
68	0.8071260096
69	0.8066918392
70	0.8065464789
71	0.8064287201
72	0.8060441864
73	0.8059167656
74	0.8053697138
75	0.8052476378
76	0.8051260684
77	0.8047179895
78	0.8044486471
79	0.8043370536
80	0.8039163899
81	0.8037658011
82	0.8036654061
83	0.8034250653
84	0.8030645264
85	0.8029214375
86	0.8024030835
87	0.8019388137
88	0.8017018058
89	0.8012125212
90	0.8008079823
91	0.8003530483
92	0.8002581049
93	0.8001347941
94	0.8000304604
95	0.7999560449
96	0.7995287773
97	0.7992103529
98	0.7988376611
99	0.7987489845
100	0.7985342387
101	0.7984363241
102	0.7981318651
103	0.7977941192
104	0.7975752035
105	0.7973093878
106	0.7972103155
107	0.7969783897
108	0.7969378719
109	0.7968387615
110	0.796535976
111	0.7962985443
112	0.7962445876
113	0.7961628915
114	0.7958926269
115	0.7957027447
116	0.795538593
117	0.795447764
118	0.7952585459
119	0.7951553107
120	0.7948408579
121	0.7945946815
122	0.7943084141
123	0.7940617056
124	0.7938061161
125	0.793756745
126	0.7936485014
127	0.7934152793
128	0.7931561201
129	0.7930975451
130	0.7929095686
131	0.7927130493
132	0.7926724574
133	0.7925929046
134	0.7925685934
135	0.7924995078
136	0.7922978499
137	0.7921046569
138	0.7919242146
139	0.7917627453
140	0.7916175912
141	0.7914591842
142	0.7914316705
143	0.7913894884
144	0.7912036343
145	0.7910976493
146	0.7909465068
147	0.7909407216
148	0.7907487186
149	0.7905921856
150	0.7905073817
151	0.7903372912
152	0.7902856681
153	0.7902318815
154	0.7900956696
155	0.7900871017
156	0.7900250729
157	0.7898975199
158	0.7898003193
159	0.7895617126
160	0.7893526074
161	0.7893397362
162	0.789248499
163	0.789091964
164	0.7889648051
165	0.7889028241
166	0.7887286274
167	0.7887094639
168	0.7886158364
169	0.7885571239
170	0.7885255072
171	0.7883784918
172	0.7882508193
173	0.7882069887
174	0.7881014443
175	0.7880595198
176	0.7879575863
177	0.7879283676
178	0.7877938399
179	0.7877278248
180	0.7876275963
181	0.7875783058
182	0.7875600457
183	0.7875399174
184	0.787407922
185	0.7873574763
186	0.7872359712
187	0.787181584
188	0.7871283205
189	0.7870306247
190	0.7869443492
191	0.7868337028
192	0.7867411885
193	0.7866794563
194	0.7866229712
195	0.7865726769
196	0.7864665412
197	0.7864053541
198	0.7864041001
199	0.7863656353
200	0.7863084741
201	0.7862710819
202	0.786215309
203	0.786151029
204	0.7860678267
205	0.7859756907
206	0.7859461749
207	0.7859461749
208	0.7858946064
209	0.7858105526
210	0.7857600018
211	0.7856997716
212	0.7856560607
213	0.7855999037
214	0.7854880289
215	0.7854727177
216	0.7853855389
217	0.7853083086
218	0.7852020455
219	0.7851906231
220	0.7851264767
221	0.7850807537
222	0.7850355562
223	0.7849530602
224	0.7849113208
225	0.7848507039
226	0.7848060226
227	0.7847864999
228	0.7847623326
229	0.7847064237
230	0.7846733821
231	0.7845812587
232	0.7845156003
233	0.7844569455
234	0.784407325
235	0.7843026227
236	0.7843023976
237	0.7842879296
238	0.7842420853
239	0.7841764892
240	0.7840898756
241	0.7840278648
242	0.7839919192
243	0.7839634272
244	0.7839348846
245	0.7838762739
246	0.7838669606
247	0.7838329129
248	0.7837936114
249	0.7837600157
250	0.7837238396
251	0.7837128325
252	0.7836905021
253	0.7836104394
254	0.7836033353
255	0.7835843505
256	0.7835123796
257	0.7834666033
258	0.7834065537
259	0.7833783863
260	0.7833501129
261	0.7832919571
262	0.7831922526
263	0.7831451086
264	0.7831076201
