iter	Passed	Remaining
0	211	105643
1	256	63886
2	334	55458
3	407	50519
4	463	45922
5	506	41740
6	552	38908
7	596	36674
8	643	35093
9	688	33724
10	759	33763
11	818	33293
12	872	32686
13	934	32423
14	989	31999
15	1031	31198
16	1090	30996
17	1154	30907
18	1208	30595
19	1262	30298
20	1315	30002
21	1351	29368
22	1404	29123
23	1447	28700
24	1556	29565
25	1633	29773
26	1695	29701
27	1747	29453
28	1805	29317
29	1870	29312
30	1911	28924
31	1982	28999
32	2075	29365
33	2115	28993
34	2187	29063
35	2234	28804
36	2282	28559
37	2363	28731
38	2447	28927
39	2536	29171
40	2566	28734
41	2616	28530
42	2687	28558
43	2732	28323
44	2797	28288
45	2861	28237
46	2918	28128
47	2983	28097
48	3038	27964
49	3109	27982
50	3158	27805
51	3210	27663
52	3251	27423
53	3339	27578
54	3397	27492
55	3470	27516
56	3517	27341
57	3600	27435
58	3650	27282
59	3720	27283
60	3762	27077
61	3809	26910
62	3869	26840
63	3916	26680
64	3996	26742
65	4045	26602
66	4093	26458
67	4180	26560
68	4224	26385
69	4280	26292
70	4366	26384
71	4420	26279
72	4463	26108
73	4518	26009
74	4566	25876
75	4659	25994
76	4736	26017
77	4776	25842
78	4822	25698
79	4865	25542
80	4926	25484
81	4978	25377
82	5042	25336
83	5091	25216
84	5142	25106
85	5209	25079
86	5261	24975
87	5315	24887
88	5378	24838
89	5432	24748
90	5498	24712
91	5554	24633
92	5642	24693
93	5698	24613
94	5752	24525
95	5793	24381
96	5843	24276
97	5896	24188
98	5936	24045
99	5998	23994
100	6055	23923
101	6138	23951
102	6184	23839
103	6231	23727
104	6274	23602
105	6332	23536
106	6430	23618
107	6467	23476
108	6528	23418
109	6602	23409
110	6670	23376
111	6739	23349
112	6826	23379
113	6872	23270
114	6924	23183
115	6979	23103
116	7044	23059
117	7106	23005
118	7163	22936
119	7243	22936
120	7290	22834
121	7355	22789
122	7393	22661
123	7429	22526
124	7463	22390
125	7507	22284
126	7557	22196
127	7611	22122
128	7665	22046
129	7712	21950
130	7773	21896
131	7815	21789
132	7884	21757
133	7943	21696
134	8001	21633
135	8056	21563
136	8108	21485
137	8154	21389
138	8205	21309
139	8246	21204
140	8285	21095
141	8327	20995
142	8378	20917
143	8438	20862
144	8493	20794
145	8545	20718
146	8596	20642
147	8616	20494
148	8667	20418
149	8719	20345
150	8767	20263
151	8811	20173
152	8862	20099
153	8913	20026
154	8971	19969
155	9015	19880
156	9066	19808
157	9114	19728
158	9187	19703
159	9233	19620
160	9283	19547
161	9344	19495
162	9396	19427
163	9444	19350
164	9497	19281
165	9577	19269
166	9627	19196
167	9679	19127
168	9758	19113
169	9811	19044
170	9874	18997
171	9919	18916
172	9963	18833
173	10024	18781
174	10079	18718
175	10135	18658
176	10188	18592
177	10232	18509
178	10281	18438
179	10357	18413
180	10408	18343
181	10476	18305
182	10520	18223
183	10577	18165
184	10628	18096
185	10678	18026
186	10721	17945
187	10777	17886
188	10825	17813
189	10879	17749
190	10920	17667
191	10967	17593
192	11020	17529
193	11104	17515
194	11158	17453
195	11222	17406
196	11282	17353
197	11356	17321
198	11382	17216
199	11448	17173
200	11512	17125
201	11583	17088
202	11673	17078
203	11725	17013
204	11775	16945
205	11835	16892
206	11897	16840
207	11919	16732
208	11962	16655
209	12014	16591
210	12065	16525
211	12145	16499
212	12189	16424
213	12228	16342
214	12279	16277
215	12341	16226
216	12398	16170
217	12448	16102
218	12491	16027
219	12550	15973
220	12601	15908
221	12663	15857
222	12747	15834
223	12798	15770
224	12852	15708
225	12906	15647
226	12964	15591
227	13034	15550
228	13083	15483
229	13139	15424
230	13219	15393
231	13282	15343
232	13335	15281
233	13403	15236
234	13451	15168
235	13506	15108
236	13538	15023
237	13604	14976
238	13678	14937
239	13728	14873
240	13791	14821
241	13853	14769
242	13916	14718
243	13968	14655
244	14015	14587
245	14054	14511
246	14099	14441
247	14157	14385
248	14211	14325
249	14275	14275
250	14326	14212
251	14403	14174
252	14458	14115
253	14514	14056
254	14568	13997
255	14611	13926
256	14651	13853
257	14702	13790
258	14757	13731
259	14822	13682
260	14877	13623
261	14932	13565
262	14982	13500
263	15034	13439
264	15089	13381
265	15136	13315
266	15187	13253
267	15249	13201
268	15314	13151
269	15368	13091
270	15418	13029
271	15466	12964
272	15520	12905
273	15572	12844
274	15625	12784
275	15669	12717
276	15731	12665
277	15800	12617
278	15850	12555
279	15913	12503
280	15976	12451
281	16033	12394
282	16108	12352
283	16160	12290
284	16217	12234
285	16275	12178
286	16334	12123
287	16390	12065
288	16464	12020
289	16502	11950
290	16561	11894
291	16598	11823
292	16659	11769
293	16718	11714
294	16778	11659
295	16845	11609
296	16907	11556
297	16962	11498
298	17026	11446
299	17082	11388
300	17143	11334
301	17195	11273
302	17248	11214
303	17299	11153
304	17355	11096
305	17408	11036
306	17466	10980
307	17518	10920
308	17575	10863
309	17648	10816
310	17695	10754
311	17748	10694
312	17829	10652
313	17882	10592
314	17927	10529
315	17967	10462
316	18019	10402
317	18063	10338
318	18117	10279
319	18163	10216
320	18209	10154
321	18256	10091
322	18300	10028
323	18346	9966
324	18397	9906
325	18454	9850
326	18505	9790
327	18553	9729
328	18608	9672
329	18658	9612
330	18720	9558
331	18772	9499
332	18831	9444
333	18887	9387
334	18938	9327
335	18988	9268
336	19042	9210
337	19097	9153
338	19145	9092
339	19185	9028
340	19234	8968
341	19295	8914
342	19353	8858
343	19414	8804
344	19470	8747
345	19524	8690
346	19579	8632
347	19633	8575
348	19680	8514
349	19737	8458
350	19799	8404
351	19846	8344
352	19893	8284
353	19943	8225
354	19985	8162
355	20023	8099
356	20062	8036
357	20098	7972
358	20145	7912
359	20189	7851
360	20232	7790
361	20277	7729
362	20325	7671
363	20364	7608
364	20442	7560
365	20478	7497
366	20515	7434
367	20558	7374
368	20600	7313
369	20645	7253
370	20693	7195
371	20743	7137
372	20796	7080
373	20830	7017
374	20864	6954
375	20905	6894
376	20940	6832
377	20978	6770
378	21019	6710
379	21057	6649
380	21103	6591
381	21135	6528
382	21174	6468
383	21215	6408
384	21258	6349
385	21320	6296
386	21372	6240
387	21433	6187
388	21478	6128
389	21530	6072
390	21593	6019
391	21634	5960
392	21693	5906
393	21742	5849
394	21811	5798
395	21864	5742
396	21923	5687
397	21977	5632
398	22031	5577
399	22088	5522
400	22147	5467
401	22230	5419
402	22290	5365
403	22347	5310
404	22393	5252
405	22436	5194
406	22478	5136
407	22539	5082
408	22610	5030
409	22670	4976
410	22723	4920
411	22777	4865
412	22822	4807
413	22881	4753
414	22932	4696
415	22979	4640
416	23046	4587
417	23093	4530
418	23132	4471
419	23184	4416
420	23244	4361
421	23305	4307
422	23369	4254
423	23421	4198
424	23469	4141
425	23530	4087
426	23578	4031
427	23625	3974
428	23670	3917
429	23723	3861
430	23780	3807
431	23839	3752
432	23912	3700
433	23968	3644
434	24029	3590
435	24081	3534
436	24138	3479
437	24189	3424
438	24236	3367
439	24273	3310
440	24312	3252
441	24369	3197
442	24422	3142
443	24480	3087
444	24544	3033
445	24598	2978
446	24666	2924
447	24728	2870
448	24774	2814
449	24837	2759
450	24888	2704
451	24948	2649
452	24995	2593
453	25057	2538
454	25119	2484
455	25176	2429
456	25233	2374
457	25284	2318
458	25341	2263
459	25405	2209
460	25460	2153
461	25512	2098
462	25567	2043
463	25629	1988
464	25687	1933
465	25739	1878
466	25792	1822
467	25851	1767
468	25911	1712
469	25963	1657
470	26033	1602
471	26088	1547
472	26132	1491
473	26193	1436
474	26234	1380
475	26290	1325
476	26341	1270
477	26426	1216
478	26470	1160
479	26544	1106
480	26594	1050
481	26644	995
482	26700	939
483	26757	884
484	26808	829
485	26891	774
486	26936	719
487	26998	663
